ZIP_CODE,CITY,PHYSICAL DELV ADDR,STATE
79912,EL PASO,7383 REMCON CIR,TX
79915,EL PASO,7314 GATEWAY BLVD E,TX
79915,EL PASO,7314 GATEWAY BLVD E,TX
79924,EL PASO,5249 SANDERS AVE,TX
79924,EL PASO,5249 SANDERS AVE,TX
79925,EL PASO,3100 N YARBROUGH DR,TX
79925,EL PASO,3100 N YARBROUGH DR,TX
79925,EL PASO,3100 N YARBROUGH DR,TX
79927,SOCORRO,10550 N LOOP DR,TX
79927,SOCORRO,10550 N LOOP DR,TX
79930,EL PASO,4116 DYER ST,TX
79930,EL PASO,4116 DYER ST,TX
79936,EL PASO,2100 GEORGE DIETER DR,TX
79936,EL PASO,2100 GEORGE DIETER DR,TX
79936,EL PASO,2100 GEORGE DIETER DR,TX
81005,PUEBLO,3000 WEDGEWOOD DR,CO
81005,PUEBLO,3000 WEDGEWOOD DR,CO
81005,PUEBLO,3000 WEDGEWOOD DR,CO
81019,COLORADO CITY,4490 BENT BROTHERS BLVD,CO
81020,AGUILAR,106 E MAIN ST,CO
81022,AVONDALE,230 AVONDALE BLVD,CO
81023,BEULAH,8867 GRAND AVE,CO
81027,BRANSON,334 SADDLEROCK DR,CO
81027,BRANSON,334 SADDLEROCK DR,CO
81029,CAMPO,183 W 4TH ST,CO
81030,CHERAW,207 W GRAND AVE,CO
81033,CROWLEY,208 BROADWAY ST,CO
81039,FOWLER,34191 COUNTY ROAD 3.5 STE B,CO
81039,FOWLER,34191 COUNTY ROAD 3.5 STE B,CO
81040,GARDNER,25336 STATE HIGHWAY 69 UNIT A,CO
81041,GRANADA,111 S MAIN ST,CO
81044,HASTY,101 S MAIN ST,CO
81046,HOEHNE,42607 COUNTY ROAD 40.6,CO
81049,KIM,185 STATE ST,CO
81050,LA JUNTA,324 COLORADO AVE,CO
81052,LAMAR,300 S 5TH ST,CO
81054,LAS ANIMAS,513 6TH ST,CO
81055,LA VETA,117 E RYUS AVE,CO
81057,MC CLAVE,111 E 1ST ST,CO
81058,MANZANOLA,103 S PARK ST,CO
81062,OLNEY SPRINGS,601 WARNER ST,CO
81064,PRITCHETT,153 RANDOLPH ST,CO
81067,ROCKY FORD,401 N 9TH ST,CO
81069,RYE,8084 STATE HIGHWAY 165,CO
81073,SPRINGFIELD,188 E 9TH AVE,CO
81076,SUGAR CITY,208 COLORADO AVE,CO
81077,SWINK,302 COLUMBIA AVE,CO
81082,TRINIDAD,301 E MAIN ST,CO
81082,TRINIDAD,301 E MAIN ST,CO
81082,TRINIDAD,301 E MAIN ST,CO
81082,TRINIDAD,301 E MAIN ST,CO
81084,TWO BUTTES,448 MAIN ST,CO
81087,VILAS,202 MAIN ST,CO
81089,WALSENBURG,204 E 6TH ST,CO
81090,WALSH,529 COLORADO AVE,CO
81091,WESTON,16900 STATE HIGHWAY 12,CO
81092,WILEY,301 MAIN ST,CO
81101,ALAMOSA,505 3RD ST,CO
81120,ANTONITO,428 MAIN ST,CO
81121,ARBOLES,86 COUNTY ROAD 982,CO
81122,BAYFIELD,145 PARK ST,CO
81123,BLANCA,406 SMITH ST,CO
81124,CAPULIN,7999 STATE HIGHWAY 15,CO
81125,CENTER,255 S WORTH ST,CO
81125,CENTER,255 S WORTH ST,CO
81126,CHAMA,21844 COUNTY ROAD P.6,CO
81129,CONEJOS,6731 COUNTY ROAD 13,CO
81130,CREEDE,10 S MAIN ST,CO
81131,CRESTONE,166 S ALDER AVE,CO
81132,DEL NORTE,590 COLUMBIA AVE,CO
81133,FORT GARLAND,313 HIGHWAY 159,CO
81136,HOOPER,11701 STATE HIGHWAY 17,CO
81137,IGNACIO,1001 WILLIAMS ST,CO
81138,JAROSO,111 COSTILLA RD,CO
81140,LA JARA,525 MAIN ST,CO
81141,MANASSA,413 MAIN ST,CO
81143,MOFFAT,17363 STATE HIGHWAY 17,CO
81144,MONTE VISTA,150 WASHINGTON ST,CO
81144,MONTE VISTA,150 WASHINGTON ST,CO
81146,MOSCA,9260 4TH AVE,CO
81147,PAGOSA SPRINGS,250 HOT SPRINGS BLVD,CO
81147,PAGOSA SPRINGS,250 HOT SPRINGS BLVD,CO
81148,ROMEO,615 2ND AVE,CO
81149,SAGUACHE,350 DENVER AVE,CO
81151,SANFORD,810 MAIN ST,CO
81152,SAN LUIS,13 9TH ST,CO
81154,SOUTH FORK,130 W FRONTAGE RD,CO
81155,VILLA GROVE,33937 US HIGHWAY 285,CO
81220,CIMARRON,82111 E US HIGHWAY 50,CO
81221,COAL CREEK,201 COAL CREEK DR,CO
81222,COALDALE,16081 US HIGHWAY 50,CO
81223,COTOPAXI,123 COUNTY ROAD 12,CO
81226,FLORENCE,121 N PIKES PEAK AVE,CO
81235,LAKE CITY,803 GUNNISON AVE,CO
81244,ROCKVALE,615 RAILROAD ST,CO
81252,WESTCLIFFE,4 BASSICK PL,CO
81253,WETMORE,682 COUNTY ROAD 395,CO
81301,DURANGO,222 W 8TH ST,CO
81301,DURANGO,222 W 8TH ST,CO
81301,DURANGO,222 W 8TH ST,CO
81320,CAHONE,51796 HIGHWAY 491,CO
81321,CORTEZ,35 S BEECH ST,CO
81323,DOLORES,1000 RAILROAD AVE N,CO
81324,DOVE CREEK,110 HIGHWAY 491,CO
81324,DOVE CREEK,110 HIGHWAY 491,CO
81324,DOVE CREEK,110 HIGHWAY 491,CO
81324,DOVE CREEK,110 HIGHWAY 491,CO
81324,DOVE CREEK,110 HIGHWAY 491,CO
81324,DOVE CREEK,110 HIGHWAY 491,CO
81325,EGNAR,8715 HIGHWAY 141,CO
81326,HESPERUS,10864 HIGHWAY 160,CO
81327,LEWIS,18794 HIGHWAY 491,CO
81328,MANCOS,291 N WALNUT ST,CO
81330,MESA VERDE NATIONAL PARK,1 MESA VERDE NATIONAL,CO
81331,PLEASANT VIEW,26070 HIGHWAY 491,CO
81332,RICO,28 S GLASGOW AVE,CO
81334,TOWAOC,119.8 MIKE WASH RD,CO
81335,YELLOW JACKET,22009 COUNTY ROAD 18,CO
81411,BEDROCK,9538 HIGHWAY 90,CO
81422,NATURITA,211 W MAIN ST,CO
81423,NORWOOD,1555 GRAND AVE,CO
81424,NUCLA,145 W 5TH AVE,CO
81426,OPHIR,431 OPHIR RD,CO
81427,OURAY,620 MAIN ST,CO
81430,PLACERVILLE,300 FRONT ST,CO
81431,REDVALE,35017 3575 RD,CO
81432,RIDGWAY,485 CLINTON ST,CO
